Ensembl_ID,HUGO_Symbol
ENSG00000256463,SALL3
ENSG00000134020,PEBP4
ENSG00000169554,ZEB2
ENSG00000118322,ATP10B
ENSG00000003987,MTMR7
ENSG00000115896,PLCL1
ENSG00000159164,SV2A
ENSG00000123243,ITIH5
ENSG00000168658,VWA3B
ENSG00000170289,CNGB3
ENSG00000090006,LTBP4
ENSG00000171368,TPPP
ENSG00000116711,PLA2G4A
ENSG00000168952,STXBP6
ENSG00000165124,SVEP1
ENSG00000112319,EYA4
ENSG00000145087,STXBP5L
ENSG00000146966,DENND2A
ENSG00000145536,ADAMTS16
ENSG00000104237,RP1
ENSG00000064989,CALCRL
ENSG00000133401,PDZD2
ENSG00000114200,BCHE
ENSG00000122966,CIT
ENSG00000087589,CASS4
ENSG00000134532,SOX5
ENSG00000266524,GDF10
ENSG00000089225,TBX5
ENSG00000138722,MMRN1
ENSG00000077522,ACTN2
ENSG00000116117,PARD3B
ENSG00000154330,PGM5
ENSG00000152818,UTRN
ENSG00000143110,C1orf162
ENSG00000133392,MYH11
ENSG00000155980,KIF5A
ENSG00000181804,SLC9A9
ENSG00000198807,PAX9
ENSG00000162722,TRIM58
ENSG00000135111,TBX3
ENSG00000206384,COL6A6
ENSG00000141510,TP53
ENSG00000175899,A2M
ENSG00000196091,MYBPC1
ENSG00000204262,COL5A2
ENSG00000137033,IL33
ENSG00000106511,MEOX2
ENSG00000132554,RGS22
ENSG00000121075,TBX4
ENSG00000176435,CLEC14A
ENSG00000172403,SYNPO2
ENSG00000066056,TIE1
